param_name,lstm_,stacked_lstm_,gru_,stacked_gru_,mixed
mae,0.016924213618040085,0.016818942502141,0.015644151717424393,0.018177267163991928,0.019280128180980682
mae_std,0.0006176235619932413,0.000549272692296654,0.00035621592542156577,0.0009295281488448381,0.0026508457958698273
rmse,0.02227737474402837,0.021945597893354422,0.02064598987509166,0.02310293014265602,0.024247582928395444
rmse_std,0.0005020093311006576,0.00043950358146172425,0.00045683161360653244,0.000832241542767707,0.0024749606381696335
square,0.8861995460031749,0.8895757461040684,0.9022583886356456,0.8775122027784491,0.863844987859825
square_std,0.005131464826157972,0.004443869437286249,0.004343894178636049,0.008922725145233571,0.029158551307555576
probability,90.26946107784433,90.88323353293414,90.97305389221557,89.74550898203593,88.9820359281437
probability_std,0.37275148496972405,0.22153665549324605,0.8104597415352784,0.8722549180812706,1.065296220039352
accuracy,67.94910179640718,66.93113772455091,71.4071856287425,61.4820359281437,59.91017964071856
accuracy_std,2.581586717837155,2.548386143262353,1.925268433026681,3.2152886841441113,8.548362981489971
