date,close,vol,RSV,BIAS,SD,ACD,rsi,DMA,change,change5,change10,change20
2016-02-01,3394.6437,10959639,46.77662296873172,0.0,40.52159917870962,0.0,0.0,0.0,-0.011748,0.0,0.0,0.0
2016-02-02,3501.6398,10773059,98.43785645351602,-0.4922424810406938,73.32823712109315,106.99609999999984,1.0,0.0,0.031519,0.031519,0.031519,0.031519
2016-02-03,3532.8118,10831837,95.5311016165724,-0.3225084825910068,84.26424896447752,196.7585999999997,1.0,0.0,0.008902,0.040421,0.040421,0.040421
2016-02-04,3678.0356,15726106,92.09671440588676,-0.2178348043825126,87.98003370335933,341.98239999999987,1.0,0.0,0.041107,0.0815279999999999,0.0815279999999999,0.0815279999999999
2016-02-05,3638.3487,15259365,73.52409412878784,-0.1798815738967122,90.16279224212052,231.37789999999995,0.8831213847786997,0.0,-0.01079,0.070738,0.070738,0.070738
2016-02-15,3784.9165,17991105,93.16175190299252,-0.1210295243941194,91.08097269831693,414.5800999999997,0.918628678300478,0.0,0.040284,0.1110219999999999,0.1110219999999999,0.1110219999999999
2016-02-16,3860.227,20824375,98.47843366474122,-0.0877985975854212,91.54678907183364,517.9593999999997,0.9292459016393444,0.0,0.019898,0.0994009999999999,0.1309199999999999,0.1309199999999999
2016-02-17,3864.3487,16482484,98.0026532273734,-0.0753557691004165,91.88154458109072,575.9560999999999,0.9297379662429672,0.0,0.001068,0.091567,0.131988,0.131988
2016-02-18,3864.6382,20265747,87.9370784709072,-0.066501519794466,92.13783040066056,586.0190999999995,0.9297722642749752,0.0,7.5e-05,0.050535,0.1320629999999999,0.1320629999999999
2016-02-19,3836.2516,13795665,83.25757699394298,-0.0657432162263535,92.3837764451132,546.0958999999998,0.8873518523119737,0.0,-0.007345,0.05398,0.124718,0.124718
2016-02-22,3965.1542,20917902,96.9811243977271,-0.031022538790447,92.44228896609836,674.9984999999997,0.9068035706026548,-339.46437000000014,0.033601,0.0472969999999999,0.158319,0.158319
2016-02-23,4014.6377,23401278,99.43922106114708,-0.0172388457641991,92.4640309469442,743.3348000000001,0.912420497515321,-281.1224090909086,0.01248,0.0398789999999999,0.13928,0.1707989999999999
2016-02-24,4030.1746,20469206,98.36116948715112,-0.0123296781332286,92.47777330942976,819.3683000000001,0.9140272780282452,-226.81239499999992,0.00387,0.0426809999999999,0.134248,0.174669
2016-02-25,3739.643,25431724,55.217945527103474,-0.0776031788472148,92.8085326716785,488.1171,0.6812188193394293,-194.432987692308,-0.072089,-0.029483,0.0210519999999999,0.1025799999999999
2016-02-26,3833.1303,18267999,67.85655139818864,-0.0508462736752453,92.95215327727206,624.6829999999995,0.7070906121865941,-159.1593485714293,0.0249989999999999,0.0028609999999999,0.0568409999999999,0.1275789999999999
2016-02-29,3706.1823,18778871,50.6943728121933,-0.077219120300369,93.27207825185944,497.7349999999997,0.6384451232023826,-144.88015333333396,-0.033119,-0.063859,-0.016562,0.0944599999999999
2016-03-01,3839.3177,22334688,68.69302982859315,-0.0414302165747463,93.36728629388053,643.7232999999997,0.6728901076460807,-135.90850750000027,0.035923,-0.040416,-0.000537,0.1303829999999999
2016-03-02,4074.251,30333240,99.23763431181152,0.016196321670475,93.38639183034644,909.8568999999998,0.7185620407977,-118.97678705882343,0.061191,0.0169049999999999,0.0595859999999999,0.191574
2016-03-03,4115.559,38803878,87.5658967727286,0.0249903535731427,93.42456852540082,951.1648999999998,0.7249257915383398,-99.78716000000033,0.010139,0.099133,0.0696499999999999,0.201713
2016-03-04,4066.4346,35014789,82.08165980658859,0.0120763324808614,93.43759326589608,805.5642999999995,0.706129231972368,-79.46450736842189,-0.011936,0.0621979999999999,0.0650589999999999,0.189777
2016-03-07,4213.7557,31111328,98.41216470994716,0.0922201397526664,925.396295064343,952.8853999999992,0.7275698600784593,-64.39649500000041,0.036229,0.131546,0.0676869999999999,0.2260059999999999
2016-03-08,4183.6924,29452183,94.48343746615426,0.0749257992945474,533.3198199624292,807.4162999999994,0.6983904443220806,-54.91899238095312,-0.007135,0.088488,0.048072,0.187352
2016-03-09,3923.8877,23196578,53.47612300794793,0.0031338283823709,378.18748035052494,457.8490999999999,0.6107309608148054,-60.49107545454581,-0.062099,-0.034802,-0.017897,0.116351
2016-03-10,3850.5699,15474907,40.85582292612161,-0.0177759154731128,301.3383752960398,204.27579999999944,0.5562267002018073,-41.59375304347896,-0.018685,-0.063626,0.035507,0.0565589999999999
2016-03-11,3861.426,13917352,42.56180840337828,-0.0178012231466869,243.3265542260799,354.9084999999991,0.5708790587170495,-32.06227416666616,0.002819,-0.048871,0.0133269999999999,0.0701679999999999
2016-03-14,3959.0245,18855210,57.898957434985874,0.0047991476229144,213.6472813738215,269.30479999999943,0.557460284389812,-4.516238000000612,0.025275,-0.059825,0.071721,0.0551589999999999
2016-03-15,3881.1188,14864693,45.65644006728342,-0.0152343717584692,197.2895796893823,88.01979999999958,0.5162405811299517,4.748075384614822,-0.019678,-0.072368,0.0161199999999999,0.0155829999999999
