date,close,high,low,pre_close,range,change,vol,turnover,Ln,Hn,RSV,Ki,Di,Ji,MA,BIAS,SD,WR,DIF_UP,DIF_DN,DIF,ACD,rsi,DMA,BBI,change5,change10,change20
2016-02-01,4878.6343,4944.1541,4828.5386,4924.0891,-45.4548,-0.9231,2618386,3356211033,4828.5386,4944.1541,43.32957086203831,50.0,50.0,50.0,4878.6343,0.0,40.52159917870962,56.67042913796169,50.09569999999985,-65.51980000000003,-65.51980000000003,0.0,0.0,0.0,4878.6343,0.0,0.0,0.0
2016-02-02,4987.1492,5000.4202,4884.16,4878.6343,108.5149,2.2243,2815974,3624641754,4828.5386,5000.4202,92.27898739597505,64.09299579865835,54.69766526621945,82.88365686353613,9865.7835,-0.4945004418554289,113.37624145898876,7.721012604024953,108.51490000000013,-13.27099999999973,108.51490000000013,108.51490000000013,1.0,0.0,9865.7835,2.2243,2.2243,2.2243
2016-02-03,4966.1171,4982.5275,4896.8868,4987.1492,-21.0321,-0.4217,2380925,2989744086,4828.5386,5000.4202,80.04259909146806,69.40953022959492,59.601620254011266,89.02535018076225,7415.9502999999995,-0.3303464965238507,128.49232392927078,19.95740090853194,69.23030000000017,-21.032099999999446,-21.032099999999446,87.48280000000068,0.8406273620559335,0.0,7415.9502999999995,1.8026,1.8026,1.8026
2016-02-04,5038.2752,5049.681,4981.4452,4966.1171,72.1581,1.453,3124251,3900629471,4828.5386,5049.681,94.84232783943759,77.88712943287581,65.69678998029944,102.26780833802854,6623.391933333332,-0.2393209928218148,134.3185816026007,5.157672160562406,72.15809999999965,-11.405799999999545,72.15809999999965,159.64090000000033,0.8971212490851426,0.0,6216.839074999999,3.2556000000000003,3.2556000000000003,3.2556000000000003
2016-02-05,5025.316,5069.5434,5021.5801,5038.2752,-12.9592,-0.2572,2451293,3244090682,4828.5386,5069.5434,81.64874724486823,79.14100203687329,70.17819399915739,97.0666181123051,6223.872949999999,-0.19257413504882026,137.54036759148858,18.35125275513177,3.735899999999674,-44.22739999999976,-44.22739999999976,115.41350000000057,0.8441531610118912,0.0,5920.380404166666,2.9984,2.9984,2.9984
2016-02-15,4996.453,5019.4483,4887.7347,5025.316,-28.863,-0.5744,2291207,3142904523,4828.5386,5069.5434,69.67263722548297,75.98488043307651,72.11375614379709,83.72712901163536,5978.388959999999,-0.16424758686159474,139.6623154526819,30.32736277451703,108.71830000000045,-28.862999999999374,-28.862999999999374,86.5505000000012,0.7458118687380846,0.0,5738.7954033333335,2.424,2.424,2.424
2016-02-16,5143.4429,5161.0953,5014.8518,4996.453,146.9899,2.9419,3617911,4600183020,4828.5386,5161.0953,94.69191268737032,82.22055785117445,75.48269004625621,95.69629346101092,5839.2312833333335,-0.11915753111531861,140.7174432041211,5.308087312629677,146.98989999999958,-17.652399999999943,146.98989999999958,233.54040000000077,0.8408002540489043,0.0,5439.914691666667,3.1416,5.3659,5.3659
2016-02-17,5176.4365,5177.421,5114.3035,5143.4429,32.9936,0.6415,4675200,5898591675,4828.5386,5177.421,99.71781322302286,88.05297630845725,79.67278546698988,104.813357991392,5744.546314285713,-0.09889550596413867,141.41766912833248,0.28218677697713584,62.13299999999981,-0.9845000000004802,62.13299999999981,295.6734000000006,0.8527953958186517,0.0,5413.05255297619,4.2048000000000005,6.0074000000000005,6.0074000000000005
2016-02-18,5157.5782,5208.7908,5147.6164,5176.4365,-18.8583,-0.3643,4665415,5913977929,4828.5386,5208.7908,86.53193853973761,87.54596371888402,82.29717821762125,98.04353472140957,5671.1753,-0.09056272691835147,141.98804140640317,13.468061460262387,9.96180000000004,-51.21259999999984,-51.21259999999984,244.46080000000075,0.8178029577734477,0.0,5397.771691666666,2.3875,5.6431000000000004,5.6431000000000004
2016-02-19,5174.9383,5185.7728,5134.3082,5157.5782,17.3601,0.3366,3260122,4224186929,4828.5386,5208.7908,91.09735591273372,88.72976111683391,84.4413725173588,97.30653831578414,5616.037855555555,-0.07854283872378219,142.40821226117833,8.902644087266285,40.6300999999994,-10.834499999999935,40.6300999999994,285.09090000000015,0.8244582144136128,0.0,5378.5218819444435,2.9813,5.9797,5.9797
