date,close,change,vol,RSV,BIAS,SD,ACD,rsi,DMA,change5,change10,change20
2016-02-01,4878.6343,-0.9231,2618386,43.32957086203831,0.0,40.52159917870962,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-02,4987.1492,2.2243,2815974,92.27898739597504,-0.4945004418554289,113.37624145898876,108.51490000000013,1.0,0.0,2.2243,2.2243,2.2243
2016-02-03,4966.1171,-0.4217,2380925,80.04259909146806,-0.3303464965238507,128.49232392927078,87.48280000000068,0.8406273620559335,0.0,1.8026,1.8026,1.8026
2016-02-04,5038.2752,1.453,3124251,94.8423278394376,-0.2393209928218148,134.3185816026007,159.64090000000033,0.8971212490851426,0.0,3.2556000000000003,3.2556000000000003,3.2556000000000003
2016-02-05,5025.316,-0.2572,2451293,81.64874724486823,-0.1925741350488202,137.54036759148858,115.41350000000055,0.8441531610118912,0.0,2.9984,2.9984,2.9984
2016-02-15,4996.453,-0.5744,2291207,69.67263722548297,-0.1642475868615947,139.6623154526819,86.5505000000012,0.7458118687380846,0.0,2.424,2.424,2.424
2016-02-16,5143.4429,2.9419,3617911,94.69191268737032,-0.1191575311153186,140.7174432041211,233.5404000000008,0.8408002540489043,0.0,3.1416,5.3659,5.3659
2016-02-17,5176.4365,0.6415,4675200,99.71781322302286,-0.0988955059641386,141.41766912833248,295.6734000000006,0.8527953958186517,0.0,4.2048000000000005,6.0074000000000005,6.0074000000000005
2016-02-18,5157.5782,-0.3643,4665415,86.53193853973761,-0.0905627269183514,141.98804140640317,244.46080000000077,0.8178029577734477,0.0,2.3875,5.6431,5.6431
2016-02-19,5174.9383,0.3366,3260122,91.09735591273372,-0.0785428387237821,142.4082122611783,285.09090000000015,0.8244582144136128,0.0,2.9813,5.9797,5.9797
2016-02-22,5270.972,1.8557,5110212,97.9460336843391,-0.0556405142203925,142.61779857823626,381.1246000000001,0.8538832583599806,-487.86343000000033,5.4114,7.8354,7.8354
2016-02-23,5260.268,-0.2031,4405401,94.9933528983872,-0.0526009358106683,142.8033047546377,358.3702000000003,0.8385002261901594,-431.3457981818174,2.2664,5.408,7.632299999999999
2016-02-24,5321.7094,1.168,5021629,99.56744549358964,-0.0382060366647405,142.9020648772105,451.9475000000002,0.8536614771293312,-376.5685583333343,2.7928999999999995,6.997699999999999,8.800299999999998
2016-02-25,4984.5262,-6.336,5459127,31.49271380356644,-0.0922220257373866,143.45091663889684,114.76430000000072,0.5656177274107052,-339.74489615384664,-3.1788000000000007,-0.7913000000000011,2.464299999999999
2016-02-26,5034.8779,1.0102,3680565,41.65834028684484,-0.0775799537269173,143.83452796309382,195.5552000000007,0.587793550604157,-306.21506000000045,-2.5052000000000003,0.4760999999999993,3.4744999999999995
2016-02-29,4922.4165,-2.2336,4136711,20.29695205412819,-0.0922417658052905,144.36668956032304,66.40250000000106,0.5281747383239107,-277.8907900000004,-6.5945,-1.183100000000001,1.2408999999999992
2016-03-01,4999.0692,1.5572,3263583,35.51597315510859,-0.0735835838485172,144.7023132831204,187.33420000000115,0.5593353323126381,-265.85702375000164,-4.8342,-2.567800000000001,2.798099999999999
2016-03-02,5171.3395,3.446,4726915,69.71940409455675,-0.0393046310764474,144.7999341251196,359.6045000000013,0.6155257967711021,-253.14338588235387,-2.5562000000000005,0.2366999999999993,6.2441
2016-03-03,5245.8411,1.4407,5581162,84.51133474353325,-0.0240836341052133,144.83862537906458,447.0034000000005,0.6349849290717854,-236.7019955555552,5.2205,2.0417,7.684799999999999
2016-03-04,5339.1972,1.7796,6324810,94.96827035803136,-0.0063647947024703,144.84453649353185,636.9516000000003,0.6564622251611837,-218.3760736842114,5.9899,3.4846999999999992,9.464399999999998
2016-03-07,5351.2509,0.2258,4812674,90.47225189811672,0.0434626743928929,1363.1527427064236,685.5772000000006,0.6590079682843903,-209.2408400000004,8.449300000000001,1.854800000000001,9.6902
2016-03-08,5323.7678,-0.5136,4253749,85.79021062890868,0.0347077886960956,818.3680566611705,549.5792000000001,0.6208671040782195,-200.5802585714291,6.378500000000001,1.5443000000000005,6.952299999999999
2016-03-09,5250.8421,-1.3698,3336228,73.36653437019413,0.0177182901470864,608.3255599587272,497.6855999999998,0.6010529079513401,-202.25163727272684,1.5627000000000002,-0.9935,6.0042
2016-03-10,5225.4692,-0.4832,2963576,69.04398833574068,0.0109665227853197,494.56130614739976,345.39739999999983,0.5707763828188069,-172.10971652173976,-0.3611999999999999,4.8593,4.068
2016-03-11,5205.7026,-0.3783,2194939,65.67653572115478,0.0053879347337522,415.6956355701576,359.90379999999914,0.5683812955872416,-148.65998583333294,-2.5191,3.470800000000001,3.9469
2016-03-14,5241.0803,0.6796,4026980,71.70350689288061,0.0098350005949575,353.16175402054137,424.1444999999985,0.5897799735540157,-112.35083399999894,-2.0653,6.384,5.2009
