date,close,vol,RSV,SD,ACD,change,change1,change5,change10,change20
2009-02-09,3154.175,42882158,95.39718665840542,722.61954110721,565.7549999999992,0.014415,0.014415,0.051188,0.011075999999999987,0.038886000000000004
2009-02-10,3172.337,38982015,97.83002692600394,447.22022850822026,551.0719999999992,0.005758,0.005758,0.06983800000000001,0.03214800000000001,-0.01048899999999997
2009-02-11,3187.622,52955999,91.1605790587028,349.8627942976256,679.8189999999986,0.004818,0.004818,0.027601999999999995,-0.027972000000000004,-0.0023849999999999826
2009-02-12,3156.01,42499629,86.76409435502607,292.24900823246907,712.472999999999,-0.009917,-0.009917,-0.023152000000000006,-0.019485,-0.017973
2009-02-13,3269.985,50122567,99.50505998619022,266.46529643983547,791.041999999999,0.036114,0.036114,-0.015181000000000004,-0.05454999999999999,-0.0051299999999999905
2009-02-16,3378.108,54315840,99.90941558288182,258.41749410138897,937.9849999999992,0.033065000000000004,0.033065000000000004,-0.04011200000000001,-0.094021,-0.045954
2009-02-17,3254.883,47148057,84.47058328521902,242.77021685015066,860.4409999999989,-0.036478000000000003,-0.036478000000000003,-0.037690000000000015,-0.11954200000000004,-0.05414500000000005
2009-02-18,3105.366,39978792,62.54898762229499,234.76123504814348,570.9909999999991,-0.045936000000000005,-0.045936000000000005,-0.055574000000000005,-0.101325,0.019621
2009-02-19,3099.324,31285295,59.13353093864411,227.88287357265278,556.3699999999994,-0.001946,-0.001946,0.003667000000000007,0.02237300000000001,0.06086000000000002
2009-02-20,3133.983,28111996,60.29533250722843,225.33689177372148,570.5189999999998,0.011183,0.011183,-0.03936899999999999,0.042686000000000016,0.07904600000000003
2009-02-23,3245.2,41530640,77.69626250109518,227.66428255992054,668.3719999999994,0.035487000000000005,0.035487000000000005,-0.053908999999999985,0.02781000000000001,0.05208700000000002
2009-02-24,3068.784,44708477,49.54690616552439,226.93071721173092,434.17199999999957,-0.054362,-0.054362,-0.081852,-0.042636999999999994,0.04661900000000001
2009-02-25,3109.614,43432098,53.168945312499986,226.60976882698142,505.0809999999997,0.013305,0.013305,-0.045751,0.025587,0.10820600000000001
2009-02-26,2969.738,39854483,29.617625269396505,228.13089894457605,292.21599999999944,-0.044981999999999994,-0.044981999999999994,0.018706000000000007,0.0015120000000000099,0.08182500000000001
2009-02-27,2959.769,31833424,27.93911637931029,229.97058015886404,274.41799999999967,-0.003357,-0.003357,0.08205499999999999,0.049419999999999985,0.164101
2009-03-02,2982.097,24952689,28.645758210057906,231.4901570598315,340.2039999999997,0.0075439999999999995,0.0075439999999999995,0.08171899999999999,0.048066999999999985,0.168842
2009-03-03,2927.641,22669109,7.400520040894843,235.15836661648046,217.79499999999962,-0.018261,-0.018261,0.03921499999999999,0.06539699999999998,0.154676
2009-03-04,3155.299,46697606,53.21765240981795,233.7266742626353,332.37099999999964,0.077762,0.077762,0.071338,0.120946,0.188191
2009-03-05,3213.252,59567783,64.88093800565117,233.4237332320869,485.4549999999999,0.018367,0.018367,-0.017193999999999997,0.038487,0.119937
2009-03-06,3201.386,37662703,62.49285547532217,228.9898257214764,306.471,-0.003693,-0.003693,-0.032635000000000004,0.03636,0.117277
2009-03-09,3089.464,40815279,39.96808108129861,213.52738541295503,50.7829999999999,-0.03496,-0.03496,-0.033652,0.024277000000000007,0.134243
2009-03-10,3132.291,23391767,48.58719540174367,197.35275353816203,102.06800000000021,0.013862000000000001,0.013862000000000001,0.026182,0.089256,0.164803
2009-03-11,3098.557,27981143,41.79808566989472,181.12409211852983,-91.88699999999972,-0.01077,-0.01077,0.049608,0.082619,0.10564199999999999
2009-03-12,3107.623,24065909,43.62265639465145,169.15303284926836,40.189000000000306,0.002926,0.002926,0.055681,0.080313,0.138621
2009-03-13,3092.985,23800371,40.67669717680585,147.5861694305992,-146.63699999999972,-0.00471,-0.00471,0.068995,0.114681,0.162008
2009-03-16,3169.921,21725000,56.160391560203124,111.12794657118727,-142.89599999999973,0.024874,0.024874,0.05792900000000001,0.120775,0.17860800000000002
2009-03-17,3288.121,41298463,97.01780136422589,100.33493919309358,110.91000000000076,0.037288,0.037288,0.063074,0.08927899999999998,0.166357
2009-03-18,3272.678,40112881,87.08888650655882,103.47398953508757,203.82300000000032,-0.004697,-0.004697,0.033011000000000006,0.067245,0.12323899999999999
2009-03-19,3325.827,34217436,99.21193030316165,111.14016831852426,307.76900000000023,0.01624,0.01624,0.024632000000000005,0.08145000000000001,0.127557
2009-03-20,3273.359,32728549,87.24421949166648,113.42978627197708,176.63400000000001,-0.015776,-0.015776,0.045686000000000004,0.080917,0.10244499999999998
2009-03-23,3371.622,39053751,97.77443786404604,117.70123563787428,126.596,0.030019,0.030019,0.062846,0.10996600000000001,0.135802
2009-03-24,3395.983,43657089,88.75460585156202,129.26993588752725,327.37300000000005,0.0072250000000000005,0.0072250000000000005,0.026205000000000003,0.07554699999999999,0.08756399999999998
2009-03-25,3351.576,32967155,80.95176177665948,135.48796314809678,94.154,-0.013076,-0.013076,0.034234,0.02302300000000001,0.046716999999999995
2009-03-26,3476.568,43882115,100.0,146.78451402819258,399.5440000000003,0.037294,0.037294,0.05681800000000001,0.05830800000000001,0.061893
2009-03-27,3481.38,42180649,94.58815275421794,154.67382122426903,470.7940000000008,0.001384,0.001384,0.035231,0.047326999999999994,0.012416999999999992
2009-03-30,3458.328,29903820,90.82626260343815,159.31822604481806,343.4410000000007,-0.006622,-0.006622,0.04712,0.057832999999999996,-0.011562000000000005
2009-03-31,3511.081,36610899,99.14410650963954,162.7399106197762,531.594000000001,0.015254,0.015254,0.049342,0.077078,0.00014599999999998295
2009-04-01,3544.464,42568530,93.69769631469963,172.022627372556,339.07600000000093,0.009507999999999999,0.009507999999999999,-0.011211000000000006,0.055993999999999995,0.036412
2009-04-02,3600.138,47706525,92.17273131985287,182.79254133296786,333.26300000000083,0.015707,0.015707,0.0014899999999999983,0.046107,0.029065000000000007
2009-04-03,3647.923,50730806,91.3322813990916,195.24133191199235,432.4070000000006,0.013273,0.013273,0.012095999999999999,0.021528000000000005,0.046325000000000005
2009-04-07,3631.873,31353757,89.03415827123867,204.13722757059472,590.6510000000007,-0.0044,-0.0044,0.010713,0.025836000000000005,0.038887
2009-04-08,3467.351,35381440,65.47703595095048,205.10461423012228,305.3240000000005,-0.045299,-0.045299,0.027736000000000004,0.012017000000000007,0.057855000000000004
2009-04-09,3544.358,27226928,76.50330185167157,207.50516712379059,514.3050000000012,0.022209,0.022209,0.06720499999999999,0.023693999999999993,0.11263999999999999
2009-04-10,3637.619,33352940,89.108411579933,212.73877683557924,510.005000000001,0.026313,0.026313,0.044617000000000004,0.003585000000000007,0.118713
2009-04-13,3680.869,40943340,95.75815535338968,218.5099282536643,618.168000000001,0.011890000000000001,0.011890000000000001,0.009432000000000001,-0.03491,0.075067
2009-04-14,3727.331,37158475,97.87064523625234,224.70340223380137,560.9700000000012,0.012623,0.012623,0.015123000000000001,-0.069395,0.08889
2009-04-15,3705.6,34501269,93.21981721212505,225.5368552345501,418.3030000000008,-0.005829999999999999,-0.005829999999999999,-0.015718999999999997,-0.076932,0.079778
2009-04-16,3704.196,37697176,92.9391586640333,226.29599360724168,444.5670000000009,-0.00037900000000000005,-0.00037900000000000005,-0.043511,-0.019581999999999995,0.072481
2009-04-17,3671.331,31810866,86.36946978722726,223.71019872658638,333.64300000000094,-0.008872,-0.008872,-0.041032,-0.017042000000000005,0.07370099999999999
2009-04-20,3735.876,32349489,99.22577847315524,224.71995943163435,466.7880000000009,0.017581,0.017581,-0.044342,0.024797000000000003,0.078359
